Nodes,Fairness,CostV,CostS
0,0.02803154518898995,0.0,0.0
1,0.028287683817969474,3.3504447435083786e-07,1.5557526596060323e-05
2,0.028472937159384926,9.22997361555212e-07,2.3552083977388493e-05
3,0.028647740127175095,1.7821134623301832e-06,2.8924587650267816e-05
4,0.02875868781892956,2.4371459266640496e-06,3.066568049668998e-05
5,0.02885345424416388,3.155655117059701e-06,3.6794782911099165e-05
6,0.02892761256612795,3.7086532601572843e-06,3.6647269239351744e-05
7,0.029000937203160524,4.319665005692649e-06,3.997004393562427e-05
8,0.02905547607785604,4.824178727738068e-06,4.177355848468815e-05
9,0.02910570182642071,5.284871598428609e-06,3.9735393418593816e-05
10,0.02914844043286626,5.783094958035994e-06,4.434704376522174e-05
11,0.029189914810729314,6.2330766279177734e-06,4.547489905918752e-05
12,0.02923045832489702,6.659105199544146e-06,4.665111317442229e-05
13,0.029266231878001172,6.9934005553031245e-06,4.632000985764908e-05
14,0.029300157810499185,7.397308770987786e-06,4.964998395983767e-05
15,0.02932799328086133,7.731524682563163e-06,4.9586932056344014e-05
16,0.029354340317455152,8.063043070648018e-06,5.2022011635206454e-05
17,0.02938043377476226,8.476857489067263e-06,5.558508533047823e-05
18,0.0294055111673618,8.782367345028695e-06,5.8040597264717156e-05
19,0.029430269523122495,9.087384969328726e-06,5.935617626227704e-05
20,0.029454204777185106,9.375493362608358e-06,5.885033195092878e-05
21,0.02947719226542589,9.661528182581447e-06,5.965508163607178e-05
22,0.029499751917098527,9.954236672164858e-06,6.033031375629214e-05
23,0.02952208025442786,1.028288647106286e-05,6.067705358847428e-05
24,0.029542227753696117,1.0542649741555697e-05,6.063725412578454e-05
25,0.02956228991555638,1.0814789113695196e-05,6.276984762062138e-05
26,0.029581200731420933,1.1050430463585308e-05,6.176435659057872e-05
27,0.02960007400949948,1.1320213764899487e-05,6.300251949321824e-05
28,0.02961451143946596,1.1510939405272633e-05,6.219131410470583e-05
29,0.02962892508594868,1.1705247590620266e-05,6.215784791160286e-05
30,0.02964322117152156,1.1910710609254648e-05,6.295405251412446e-05
31,0.029657338944691348,1.2093547820108693e-05,6.205274422903477e-05
32,0.029671066571856253,1.2266800530001677e-05,6.096049570274682e-05
33,0.029684775147610067,1.2469657470630146e-05,6.190198109420227e-05
34,0.029697627139519928,1.2660405397338152e-05,6.289304190165579e-05
35,0.02971041220714129,1.282386917289022e-05,6.217624644515161e-05
36,0.029723044357961633,1.3005692572313547e-05,6.202101389875531e-05
37,0.029735676049463068,1.3205397064924554e-05,6.199795254553549e-05
38,0.0297475307509208,1.3382184636439786e-05,6.177602865783613e-05
39,0.029758944138402788,1.3568407041411428e-05,6.365131643836948e-05
40,0.029770266544393607,1.3696621667737844e-05,6.268984508600106e-05
41,0.029780595234623976,1.3853891651642851e-05,6.236911385058824e-05
42,0.029790858207382056,1.4015579183350459e-05,6.304182152034235e-05
43,0.029800810998177232,1.4168920880943949e-05,6.334150306933898e-05
44,0.02981020084725252,1.4308804447850658e-05,6.316652758466203e-05
45,0.029819341746338917,1.4458502267002342e-05,6.370461678414188e-05
46,0.029827903061077313,1.4573167114676981e-05,6.352815279075979e-05
47,0.029835862069920564,1.4708707386392545e-05,6.339071069427914e-05
48,0.02984308033426228,1.4818004686461745e-05,6.31874991875082e-05
49,0.029850188583290513,1.4941317876429527e-05,6.447757483842148e-05
50,0.02985723342008776,1.5038325151671047e-05,6.402193762452998e-05
51,0.02986421794642355,1.5140416329836145e-05,6.357134765424485e-05
52,0.029871118371921926,1.5241091060716378e-05,6.355515045192597e-05
53,0.02987753377913987,1.5344420970537737e-05,6.33061639419906e-05
54,0.029883828305310757,1.542766305345895e-05,6.259972496571759e-05
55,0.029889688541643124,1.552332308837751e-05,6.29448014246619e-05
56,0.02989543953512742,1.5619539110491567e-05,6.352133992469126e-05
57,0.0299010594629227,1.5711239162954048e-05,6.37107936308166e-05
58,0.02990665008720545,1.5807584702194623e-05,6.393444761686855e-05
59,0.029912187429803852,1.5891600033333967e-05,6.372397926312693e-05
60,0.02991725339537171,1.5972135656210605e-05,6.39446033610307e-05
61,0.029922074658428877,1.6046789778193506e-05,6.395070754243318e-05
62,0.029926792529520956,1.6122536859722035e-05,6.352591742310471e-05
63,0.029931475166950924,1.6193944237205178e-05,6.374294923630417e-05
64,0.029935908321632457,1.6267653933237603e-05,6.365577122404041e-05
65,0.029940336651396428,1.6338739410000467e-05,6.3430243320852e-05
66,0.029944738631316678,1.641217879265422e-05,6.357333413847229e-05
67,0.029949122024334852,1.6480503009843852e-05,6.314986405619645e-05
68,0.02995349200564519,1.6555478156377943e-05,6.311526616654037e-05
69,0.029957786877078247,1.6615877971927293e-05,6.257204808450679e-05
70,0.029962000397831576,1.669044822638796e-05,6.261428395977344e-05
71,0.029966189016876976,1.6747139373620894e-05,6.206163530142734e-05
72,0.029970236883993473,1.680922869872487e-05,6.174340480991372e-05
73,0.02997416961038178,1.6872738795220734e-05,6.20454893707665e-05
74,0.029978056899158334,1.6940447360193195e-05,6.199869063596366e-05
75,0.029981877050346738,1.7011289313968467e-05,6.254465679052477e-05
76,0.02998566934572931,1.7070735554671253e-05,6.209878103805116e-05
77,0.029989454890414352,1.7132259893070438e-05,6.20336534273042e-05
78,0.029993235153924037,1.7194164647060785e-05,6.199468028977096e-05
79,0.029996971050709725,1.7270246505980964e-05,6.300962936431378e-05
80,0.030000586401023988,1.7326122992042803e-05,6.27014105819281e-05
81,0.030004112826602362,1.736919431646619e-05,6.235064258988821e-05
82,0.030007568931090203,1.7427534211222548e-05,6.208482378193943e-05
83,0.030010897133650148,1.7486725985743654e-05,6.223874189292891e-05
84,0.030014193649959123,1.7540135400382836e-05,6.183210947289439e-05
85,0.030017460135498195,1.7601621943598147e-05,6.196407238149162e-05
86,0.030020715755057156,1.7662205324903653e-05,6.237954236409997e-05
87,0.03002395865882016,1.7723181744195458e-05,6.260536804508699e-05
88,0.03002714900865499,1.7776143027108603e-05,6.238120961560617e-05
89,0.030030285882427624,1.783171317598907e-05,6.253532259860614e-05
90,0.030033409990524368,1.788493644783075e-05,6.241365500527472e-05
91,0.030036485617011638,1.793599985330018e-05,6.220961063933548e-05
92,0.03003954295445646,1.7989148506524447e-05,6.199335169295144e-05
93,0.030042493733587104,1.802793286497997e-05,6.17058575754372e-05
94,0.030045414174525192,1.807327978358989e-05,6.153844440197981e-05
95,0.03004829201741848,1.8129966594808675e-05,6.20677543935879e-05
96,0.030051044236302494,1.8174674398980036e-05,6.190412888349153e-05
97,0.030053779652241496,1.822524094071683e-05,6.220546348731456e-05
98,0.030056443946448474,1.8271364535994884e-05,6.223945274536172e-05
99,0.03005910063133694,1.8321319557381082e-05,6.24977337019746e-05
100,0.03006174364141008,1.836361248749979e-05,6.220232251508712e-05
101,0.03006434512398464,1.8412221216650012e-05,6.233400251781777e-05
102,0.030066915383888827,1.8457483955210474e-05,6.235726029171251e-05
103,0.030069365879714118,1.850303534505866e-05,6.243391858127343e-05
104,0.03007171119991737,1.854248798519596e-05,6.262570500175624e-05
105,0.030073997318177254,1.858329363306251e-05,6.260422586993528e-05
106,0.030076239081056902,1.8624305051782984e-05,6.259939886991647e-05
107,0.030078467346291757,1.8663879677345446e-05,6.247706242900771e-05
108,0.030080636398471642,1.870571189854122e-05,6.242426414625706e-05
109,0.030082786113335366,1.87513203865009e-05,6.271346138231211e-05
110,0.030084935897158105,1.8787375804888302e-05,6.263039140101029e-05
111,0.030087069437467973,1.88313832149025e-05,6.301152503356331e-05
112,0.030089193851935134,1.8870957116011125e-05,6.302905112761128e-05
113,0.030091304060692835,1.8914758269845445e-05,6.326171123798744e-05
114,0.030093362539531408,1.8955459914326286e-05,6.347214116824278e-05
115,0.030095377985664327,1.8993702594785363e-05,6.35920107183852e-05
116,0.03009738801831397,1.9033099854381798e-05,6.378155166630422e-05
117,0.030099396576428558,1.907087925859108e-05,6.376766543240249e-05
118,0.030101400891290125,1.9105737696821592e-05,6.367108239131578e-05
119,0.030103385810679263,1.913965910635809e-05,6.351546685323727e-05
120,0.030105353961791294,1.917637410675101e-05,6.342161894772755e-05
121,0.03010729564776084,1.921027324999616e-05,6.32338943145369e-05
122,0.030109219436271303,1.9244424359418476e-05,6.310521485298156e-05
123,0.030111136896950018,1.9280224473443944e-05,6.314192752288918e-05
124,0.030113002403054707,1.931451744364507e-05,6.313468776638617e-05
125,0.030114854263955285,1.93493579051521e-05,6.318809314459128e-05
126,0.03011668761521863,1.9384345940987248e-05,6.320246637108607e-05
127,0.03011850750115214,1.9421295752515637e-05,6.33718884107816e-05
128,0.030120327252873266,1.9456700965238942e-05,6.343096599422365e-05
129,0.03012212992090505,1.9492021605132945e-05,6.347134670492653e-05
130,0.030123901637947453,1.9531101493769105e-05,6.386447599915587e-05
131,0.030125671589833425,1.9562699222709084e-05,6.372015755894448e-05
132,0.030127425587164955,1.959842067424445e-05,6.386412154192339e-05
133,0.0301291777493014,1.9633649633005437e-05,6.397154116620166e-05
134,0.030130925195123736,1.966313325401865e-05,6.3922245978364e-05
135,0.030132656140586134,1.9696694016174095e-05,6.402327481760644e-05
136,0.03013438474558743,1.9729865191370577e-05,6.41433549901261e-05
137,0.030136083240312903,1.976087838868968e-05,6.42041596772395e-05
138,0.030137777993856002,1.979275938701209e-05,6.40999992946784e-05
139,0.030139469881634462,1.9825719198101732e-05,6.415005390771453e-05
140,0.03014114201886963,1.9853310887078784e-05,6.399467931685518e-05
141,0.030142812928058607,1.988570867422067e-05,6.399462670197115e-05
142,0.03014447825622139,1.991739384254434e-05,6.396185974404654e-05
143,0.030146128854911428,1.994827998069936e-05,6.386497470986933e-05
144,0.030147742596435354,1.997803435416124e-05,6.38426020545712e-05
145,0.03014934997773435,2.000591035747056e-05,6.363206114245765e-05
146,0.03015095074690939,2.004098840207144e-05,6.387102960514165e-05
147,0.030152543829125616,2.0069592742801233e-05,6.368136657001532e-05
148,0.030154131525857247,2.0103892205795908e-05,6.385249046935839e-05
149,0.030155717540291796,2.013512647182181e-05,6.397398645758263e-05
150,0.030157293667376676,2.016578886642997e-05,6.392460073592434e-05
151,0.030158827352463835,2.019082334735259e-05,6.364961177124233e-05
