Nodes,Fairness,CostV,CostS
0,0.49765190952811506,0.0,0.0
1,0.6725030444977338,0.13257946629460798,0.3291958934219498
2,0.7196925506026592,0.2106833473465357,0.4164570310794038
3,0.7537183869256989,0.27576693033420047,0.4497663962677583
4,0.7677797761817851,0.3061024895921353,0.4854058779162723
5,0.7794367358394432,0.33233139419179025,0.4800216546746586
6,0.7865574708988832,0.34887063138455465,0.4978119527134354
7,0.7906239825021912,0.35818977620572046,0.4831876064988281
8,0.7936152721550952,0.36517242240480013,0.46615132828056877
