Nodes,Fairness,CostV,CostS
0,0.4998404789231671,0.0,0.0
1,0.5082264461705392,0.0018091738624300686,0.052526479531952275
2,0.5137371480419141,0.0037364402939350466,0.054841931837317455
3,0.5168355761444401,0.0050478775371804695,0.05129846865167554
4,0.5190414858637128,0.005525712185370148,0.042243878554230056
5,0.5208959888314398,0.006249284193096582,0.038997887497721186
6,0.5216808148060499,0.006377435398390023,0.0332564632343961
7,0.5218909395753532,0.006412593307372727,0.028710896421921824
