4493
3392	2081
4277	2201
2255	2039
4234	1348
829	2760
683	418
3033	2113
3847	1834
3960	1484
1107	1399
1402	1849
991	1692
3196	2258
2187	432
2058	2419
1122	1172
115	3310
2742	1629
1276	1965
2460	2599
1046	1089
123	1891
218	313
2514	2816
964	4103
4092	2699
870	1793
2979	906
2674	1274
2805	2224
2420	1874
3663	1669
3444	1869
3905	1781
2259	2973
445	448
3444	2336
1483	2912
4453	4142
4466	1008
2450	1510
198	248
3711	1826
1236	2472
2420	2696
2259	3126
1438	652
686	1393
2024	2987
3615	1648
2509	218
2260	1184
4058	1087
1878	174
2689	2024
1094	761
1712	1144
2042	2259
2260	2619
2495	1980
1107	2898
4307	2258
2259	956
2264	722
2034	1595
2432	818
842	153
153	2432
2259	1497
208	1845
3320	3286
3633	3035
1598	1575
2432	1437
4429	1792
3881	2540
3020	2268
2968	2087
1797	4422
1009	2685
3444	3199
3683	1793
3243	2300
1446	3295
2259	4239
656	1792
409	2224
3668	1526
3966	2819
3617	1968
1986	3531
3959	2126
2951	957
2956	2921
2987	2224
936	2894
1682	4155
2259	2222
3607	879
3568	1876
505	3394
512	2212
1039	1043
1991	3752
836	2238
3196	3908
1438	483
2657	2224
2802	3003
3237	1650
1829	2862
4359	1043
3953	3768
3392	465
1878	957
3009	775
665	655
1107	2250
4393	1869
2467	1839
1001	2075
2255	1912
1841	2633
591	3170
2259	81
2510	1767
2467	2376
482	1920
17	2485
2668	3691
3973	4380
2775	818
3077	2916
3222	3959
1229	1965
3171	1869
2098	2111
1405	2180
1207	1766
2255	3931
2260	1399
1878	377
15	1781
4160	12
2548	3498
1878	3844
3020	1512
1483	112
710	1764
2215	846
1949	2599
1438	4129
2259	2854
3275	1878
1483	2717
1812	4029
1438	2972
2210	74
2259	3395
4325	1568
2420	2835
368	2098
3394	2820
431	3771
1028	2503
3289	2591
920	2460
4199	1924
2636	2258
569	3003
4169	2289
1919	2807
4119	1327
426	2620
2260	2766
206	316
2997	123
967	1211
2300	3959
2798	2802
4115	2916
3607	2294
1748	384
2718	2571
2572	1873
1633	2300
3474	585
2250	3959
