Nodes,Fairness,CostV,CostS
0,0.6112950323707864,0.0,0.0
1,0.6443392461179781,0.007596270348250851,0.08670038296101518
2,0.6671522079954741,0.02133837671464372,0.13209407366029877
3,0.6858148649053378,0.03825643355945217,0.22358249819519002
4,0.6983010577435416,0.05141588351437567,0.23227086181591156
5,0.7102580273209239,0.06520261109016309,0.2519574561098982
6,0.7187930440312144,0.07763377666791572,0.30335389137161
7,0.7267642113993311,0.0896001253453443,0.34577300559625573
8,0.7349937120775906,0.10356435538990147,0.3992374503641788
9,0.7415692426342757,0.11144698208010737,0.3804867688995127
10,0.7472397676813486,0.1206181477963332,0.3871706320827927
11,0.7520669804260639,0.12923598031180414,0.3883179467596356
12,0.7564775855037955,0.13708502597183578,0.40037092770362426
13,0.7615544176623724,0.1453442374885004,0.40230848830872556
14,0.7651213620206256,0.15243457308910888,0.40436083990768196
15,0.7685838799140354,0.15945789063913213,0.4104824434366709
16,0.7719951887889147,0.16662322492734252,0.41957085400278815
17,0.7750063148415188,0.1731681648478012,0.4279986777396345
18,0.7776174332863689,0.17818708848649065,0.4259086717823861
19,0.7801702291117613,0.18296693502209851,0.43023585294786587
20,0.7822828002999695,0.1863491612226349,0.42299856338887876
21,0.783471787338277,0.18857446027424568,0.4154754642651334
22,0.7844629366463861,0.19056117377476894,0.41182298160572905
23,0.7851802590042665,0.19182878489997368,0.4005826314208406
