Nodes,Fairness,CostV,CostS
0,0.34554408760887845,0.0,0.0
1,0.36255715784463116,0.0025372431352402385,0.05100124546253695
2,0.3720336253094946,0.005301224789740546,0.05424368198293358
3,0.37891712615287854,0.006891578507939996,0.043522342413576026
4,0.3844921351055708,0.009219209527325889,0.048064925090717886
5,0.3877704721203631,0.010607007262232945,0.04657947965894965
6,0.3891759677633473,0.011015862819393582,0.04051919208547494
7,0.39057124188603926,0.011567526663515846,0.03783742743853002
