Nodes,Fairness,CostV,CostS
0,0.24544084836072266,0.0,0.0
1,0.24798151761187953,3.82742124287986e-05,0.002802972916624806
2,0.24975385034521563,9.951915633952445e-05,0.0039359824348415675
3,0.2514188976263113,0.00018852507647576747,0.004642451740136935
4,0.2525207946176874,0.00025774316060894206,0.00481601705942942
5,0.2534227821876053,0.00032399087743622813,0.004423187236795295
6,0.2542845314208698,0.00040516212384264727,0.005293691622997618
7,0.2550353900923635,0.0004692346954738377,0.00540216696039478
8,0.2557352760120708,0.0005362879220516798,0.0058865359869996565
9,0.2562032901071391,0.0005992814999191626,0.006716920821997475
10,0.2566097859970412,0.0006421605595836233,0.006840337894087184
11,0.25701027425102885,0.0006912897711501045,0.006987805584787368
12,0.2573224222233899,0.0007253322345224546,0.006928922661833836
13,0.2576290775597021,0.0007634829143827429,0.0069144661271894935
14,0.2579262176605713,0.0008041184882044922,0.007341940113470711
15,0.2581970536802431,0.000850963788332128,0.007780649334014077
16,0.2584671901825675,0.0008892847167681262,0.008112596974500869
17,0.25873231271912767,0.0009250832730334758,0.008016442591153247
18,0.2589872994610846,0.0009648817179149833,0.008107365519515113
19,0.25923832685352255,0.0009952542200372405,0.007863165526620261
20,0.2594549429767091,0.0010208806847726458,0.007889735693425312
21,0.25966630474069763,0.0010496742107878316,0.008044668205870544
22,0.259870475467493,0.0010781763713832485,0.008132146325739253
23,0.2600692883428361,0.0011018877071580747,0.007946575155042135
24,0.26025759903708373,0.0011286951678882863,0.008162116331889555
25,0.26044586102042183,0.0011576800504606345,0.008241860428122598
26,0.26063166159857676,0.0011834736971094964,0.008125760248945362
27,0.2608137258775173,0.0012093081664119939,0.008113878899502134
28,0.2609941464203497,0.0012328980275173795,0.00802603840393965
29,0.2611624856519268,0.0012563553351574808,0.0080496889011793
30,0.2613203755737239,0.0012818015670854647,0.008206286502111158
31,0.2614734824949433,0.0012955605586486897,0.00798742385402091
32,0.2616237170164395,0.0013097849204245224,0.00785219815362342
33,0.26177000101681924,0.0013315519967198968,0.00785023116552154
34,0.26191113144768136,0.0013538888797184016,0.008049547130276762
35,0.2620470102699962,0.0013750808192721366,0.00802671801746055
36,0.26217863964003335,0.0013966745806200645,0.008182368905479805
37,0.26231015166679994,0.0014169902058998125,0.008153048298556724
38,0.26243611031318653,0.0014379404377450667,0.00826328070852027
39,0.26256177497429334,0.0014581129730654098,0.008229536829655021
40,0.26267871251342645,0.001477199517833739,0.008234640646494946
41,0.26279394855977223,0.0014967701935929077,0.008359196103605708
42,0.2629087660048921,0.0015125670210764475,0.00827511347652797
43,0.2630221836768784,0.0015306373089769047,0.008268864971651295
44,0.2631284635545129,0.0015475630060689971,0.008284947012790705
45,0.2632328112992026,0.0015660567172218224,0.008412352110480723
46,0.26333473130419294,0.0015856272259578837,0.008652950222001894
47,0.26342866963650813,0.0015978980943108176,0.008540905238704667
48,0.2635209671454636,0.0016134406256788966,0.00859917089187539
49,0.2636131449013094,0.0016307664732079022,0.008712263285014945
50,0.26370321272603736,0.001645900345405612,0.008687259687539967
51,0.26379085580307277,0.0016592274748226457,0.008615072483039207
52,0.26387579342988265,0.001671703117897821,0.008561409204259025
53,0.263956491825655,0.0016840022311019865,0.008481965710338124
54,0.26403709733415404,0.0016939787419806456,0.00844077344491716
55,0.26411668008204414,0.0017057050155543205,0.008338671857629518
56,0.2641947365995244,0.0017178900910401105,0.008336381715023733
57,0.26427181985777104,0.0017298213403045787,0.008221947597241465
58,0.2643433728141694,0.001742112210091404,0.008166378183544558
59,0.26441282273561106,0.0017535698197997608,0.00810047463108465
60,0.26448005404275776,0.0017648700028369824,0.008031660863111977
61,0.2645472093210824,0.0017766092518008388,0.007997899637373086
62,0.26461175269210463,0.0017879322027222456,0.007985872369682559
63,0.2646742169770155,0.0017963705777383065,0.007887327061256298
64,0.264736389093429,0.0018081743796135065,0.007973070165728074
65,0.2647971601965152,0.0018208035730797854,0.008133997131758124
66,0.2648558102879698,0.0018316216985846683,0.008171010925918756
67,0.2649136586910238,0.001841193074720479,0.008131242281928786
68,0.26497005408063923,0.0018517139373741649,0.008172026396563274
69,0.2650258309965124,0.0018623956206037548,0.008205455868596834
70,0.2650810770280264,0.0018731681326381007,0.008280331624614006
71,0.26513523548304324,0.001881708752130587,0.008234302862818696
