Nodes,Fairness,CostV,CostS
0,0.32971482244231276,0.0,0.0
1,0.3393489617264933,0.001132944631092155,0.028861035279061774
2,0.3465597025822662,0.0027381323946396516,0.035043846854786065
3,0.3527132025297592,0.004403745592851942,0.036307293115493265
4,0.35866333610578816,0.005821198654804575,0.03325012497846666
5,0.3628248257445839,0.007257112870541725,0.03392653319871787
6,0.36588806619112435,0.008363872432467176,0.03306292524497206
7,0.368833479039421,0.009425238970866365,0.032221208191228326
8,0.37061044517248676,0.00994735994326557,0.029667210832900193
