Nodes,Fairness,CostV,CostS
0,0.49695722518163954,0.0,0.0
1,0.6192213885368159,0.08284593447953735,0.4509429094309717
2,0.658275933050522,0.13817076040147844,0.5096831550243996
3,0.6835593524603736,0.17393793900461285,0.47537024096527053
4,0.6957390793777964,0.1960814862631443,0.5053412794925936
5,0.7049541418072358,0.21253312582534437,0.4671717873863333
6,0.7112136043881544,0.22463607897047091,0.47774612291346985
7,0.7147632651975269,0.23045984342425843,0.4447614620717732
8,0.7171234279923782,0.2344128305209754,0.41075151271555826
